relation	path	child_id	minCardinality	maxCardinality
choice	/GENEPIO:0002082/NCIT:C25464	GAZ:00051067		
choice	/GENEPIO:0002082/NCIT:C25464	GAZ:00051071		
choice	/GENEPIO:0002082/NCIT:C25464	GAZ:00051031		
choice	/GENEPIO:0002082/NCIT:C25464	GAZ:00002820		
choice	/GENEPIO:0002082/NCIT:C25464	GAZ:00051074		
choice	/GENEPIO:0002082/NCIT:C25464	GAZ:00051084		
choice	/GENEPIO:0002082/NCIT:C25464	GAZ:00051073		
choice	/GENEPIO:0002082/NCIT:C25464/GAZ:00000590	GAZ:00002286		
choice	/GENEPIO:0002082/NCIT:C25464/GAZ:00000590	GAZ:00002285		
choice	/GENEPIO:0002082/NCIT:C25464/GAZ:00000590	GAZ:00002287		
choice	/GENEPIO:0002082	NCIT:C25632		
choice	/GENEPIO:0002082	NCIT:C87194		
choice	/GENEPIO:0002082	NCIT:C89811		
choice	/GENEPIO:0002082	GENEPIO:0001742		
choice	/GENEPIO:0002082/ENVO:00000005	GAZ:00005139		
choice	/GENEPIO:0002082/ENVO:00000005	GAZ:00009461		
choice	/GENEPIO:0002082/ENVO:00000005	GAZ:00000641		
choice	/GENEPIO:0002082/ENVO:00000005	GAZ:00009431		
choice	/GENEPIO:0002082/ENVO:00000005	GAZ:00002547		
choice	/GENEPIO:0002082/ENVO:00000005	GAZ:00004095		
choice	/GENEPIO:0002082/ENVO:00000005	GAZ:00004026		
choice	/GENEPIO:0002082/ENVO:00000005	GAZ:00008796		
choice	/GENEPIO:0002082/ENVO:00000005	GAZ:00002561		
choice	/GENEPIO:0002082/ENVO:00000005	GAZ:00003198		
choice	/GENEPIO:0002082/ENVO:00000005	GAZ:00003204		
choice	/GENEPIO:0002082/ENVO:00000005	GAZ:00003765		
choice	/GENEPIO:0002082/ENVO:00000005	GAZ:00005074		
choice	/GENEPIO:0002082/ENVO:00000005	GAZ:00005660		
choice	/GENEPIO:0002082/ENVO:00000005	GAZ:00005643		
choice	/GENEPIO:0002082/ENVO:00000005	GAZ:00005666		
choice	/GENEPIO:0002082/ENVO:00000005	GAZ:00001508		
choice	/GENEPIO:0002082/ENVO:00000005	GAZ:00003730		
