datatype	path	id	label	definition	ui_label	ui_definition	help	minValue	maxValue	minLength	maxLength	pattern	format	preferred_unit
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172/FOODON:00002099	FOODON:03306901	peanut (roasted)											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172/FOODON:00002099	FOODON:03306874	peanut roasted partially defatted											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172/FOODON:00002099	FOODON:03309538	peanut (salted)											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172/FOODON:00002099	FOODON:03302876	peanut salted partially defatted											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172/FOODON:00002099	FOODON:03309827	peanut salted roasted											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172/FOODON:00002099	FOODON:03306900	peanut seasoned partially defatted											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172/FOODON:00002099	FOODON:03301352	peanut (shelled)											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172/FOODON:00002099	FOODON:03306905	peanut virginia runner salted											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172/FOODON:00002099	FOODON:03306867	peanut butter											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172/FOODON:00002099	FOODON:03306904	peanut butter (chunky)											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172/FOODON:00002099	FOODON:03306903	peanut butter (creamy)											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172/FOODON:00002099	FOODON:03305637	peanut butter (hydrogenated)											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172/FOODON:00002099	FOODON:03306855	peanut butter (unsalted)											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172/FOODON:00002099	FOODON:03306857	peanut butter (vitamin a added)											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172/FOODON:00002099	FOODON:03306908	peanut butter vitamin a d and e added											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172/FOODON:00002099	FOODON:03310656	peanut butter low calorie											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172/FOODON:00002099	FOODON:03315358	peanut butter processed											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172/FOODON:00002099	FOODON:03306862	peanut butter with bonemeal											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172/FOODON:00002099	FOODON:03306861	peanut butter with coconut											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172/FOODON:00002099	FOODON:03306870	peanut butter with imitation bacon											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172/FOODON:00002099	FOODON:03306873	peanut butter with jelly											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001015/FOODON:00001262/FOODON:00001172/FOODON:00002099	FOODON:03306864	peanut butter with rose hips											
